id,jobId,algorithm,count,libraryPercentage
216,3530,AES/GCM/NoPadding,8,1
217,3530,HmacSha512,11,1
218,3530,MD5,7,0
219,3530,md5,1,0
220,766,MD5,1,0
221,2181,RSA,2,0
222,2181,{},1,1
223,2181,RC4,2,0
224,2181,SHA1,2,1
225,2181,SHA-1,4,0
226,2181,AES/CBC/NoPadding,3,0
227,2181,AES,7,0
228,2181,HmacSHA256,8,0
229,2181,DES,5,0
230,2181,CRC,1,0
231,2181,PBKDF2WithHmacSHA1,1,0
232,2181,HmacSHA1,7,1
233,2181,DES/ECB/NoPadding,4,0
234,2181,SHA-256,3,1
235,2181,AES/CBC/PKCS5Padding,9,0
236,2181,MD5,20,0
237,2181,AES/ECB/PKCS7Padding,2,1
238,3869,SHA1,7,0
239,3869,SHA-1,6,0
240,3869,AES/CTR/NoPadding,2,0
241,3869,HMAC,1,1
242,3869,PBEWithSHA1AndDESede,2,0
243,3869,HmacSHA512,2,1
244,3869,AES/CBC/PKCS5PADDING,1,0
245,3869,SHA,1,0
246,3869,RSA/ECB/OAEPWITHSHA1ANDMGF1PADDING,2,0
247,3869,RSA/ECB/PKCS1Padding,1,0
248,3869,HmacSHA256,2,1
249,3869,DSA,3,0
250,3869,Blowfish/CBC/PKCS5Padding,1,0
251,3869,AES/ECB/NoPadding,2,0
252,3869,HmacSHA1,4,1
253,3869,HMACSHA1,2,0
254,3869,AES/CBC/PKCS7Padding,3,0
255,3869,AES/CBC/PKCS5Padding,3,0
256,3869,RSA,6,0
257,3869,AES,11,0
258,3869,RSA/ECB/PKCS1PADDING,2,0
259,3869,SHA256,1,0
260,3869,sha1,1,1
261,3869,SHA-256,3,0
262,3869,;,1,0
263,3869,SHA-512,1,1
264,3869,MD5,27,0
265,3869,md5,1,1
266,3869,Blowfish,1,0
267,3406,RSA,1,0
268,3406,DES,2,0
269,3406,AES/CBC/PKCS5Padding,1,1
270,3406,MD5,3,1
271,3406,AES,1,1
272,2934,RSA,3,0
273,2934,[],1,1
274,2934,{},1,1
275,2934,DES,3,0
276,2934,SHA1,1,1
277,2934,SHA-256,6,0
278,2934,AES/CBC/PKCS5Padding,1,1
279,2934,MD5,9,0
280,2934,AES,6,0
281,1013,AES/CBC/PKCS5Padding,1,0
282,1013,MD5,1,0
283,1013,AES,1,0
284,3849,RSA,1,0
285,3849,SHA1,1,0
286,3849,SHA-1,9,0
287,3849,AES,1,0
288,3849,SHA256,1,0
289,3849,DES,3,0
290,3849,SHA-256,6,0
291,3849,DES/ECB/NoPadding,2,1
292,3849,MD4,1,1
293,3849,AES/CBC/PKCS7Padding,2,0
294,3849,DES/CBC/PKCS5Padding,2,0
295,3849,MD5,19,0
296,3849,Blowfish,1,0
297,3993,AES/CTR/NOPADDING,2,0
298,3993,SHA-1,6,0
299,3993,SHA1,2,0
300,3993,DES,4,0
301,3993,AES/ECB/NOPADDING,3,0
302,3993,AES/CBC/NoPadding,1,0
303,3993,HMAC,1,0
304,3993,SHA-256,4,0
305,3993,HmacSHA512,2,0
306,3993,AES,13,0
307,3993,MD5,4,0
308,3993,AES/GCM/NoPadding,2,0
309,3928,ECDH,2,1
310,3928,{},1,1
311,3928,SHA-1,3,1
