id,jobId,category,numVulnerabilities,numLibVulns,libraryPercentage
1437,3791,Cryptography,251,158,38.6308059692383
1438,3995,Cryptography,26,24,48
1439,4003,Cryptography,40,14,25.9259262084961
1440,2652,Cryptography,18,15,45.4545478820801
1441,3900,Cryptography,183,170,48.1586380004883
1442,2374,Cryptography,56,16,22.2222232818604
1443,3471,Cryptography,135,97,41.8103446960449
1444,1167,Cryptography,15,0,0
1445,1496,Cryptography,10,0,0
1446,3469,Cryptography,88,34,27.8688526153564
1447,3594,Cryptography,4,2,33.3333358764648
1448,2663,Cryptography,40,14,25.9259262084961
1449,2070,Cryptography,15,13,46.4285697937012
1450,2743,Cryptography,30,14,31.8181819915771
1451,1305,Cryptography,6,6,50
1452,1522,Cryptography,8,7,46.6666679382324
1453,2554,Cryptography,29,26,47.2727279663086
1454,2607,Cryptography,17,14,45.1612892150879
1455,2055,Cryptography,14,14,50
1456,1983,Cryptography,11,0,0
1457,4012,Cryptography,40,20,33.3333358764648
1458,2577,Cryptography,24,8,25
1459,4068,Cryptography,68,47,40.8695640563965
1460,3826,Cryptography,183,147,44.5454521179199
1461,674,Cryptography,1,0,0
1462,2293,Cryptography,16,13,44.8275871276855
1463,3533,Cryptography,38,8,17.3913040161133
1464,2774,Cryptography,21,21,50
1465,1680,Cryptography,9,0,0
1466,2732,Cryptography,13,13,50
1467,3901,Cryptography,177,75,29.7619037628174
1468,2280,Cryptography,24,14,36.8421058654785
1469,1550,Cryptography,13,6,31.5789451599121
1470,2530,Cryptography,5,3,37.5
1471,2423,Cryptography,37,13,26
1472,2610,Cryptography,6,0,0
1473,3773,Cryptography,33,19,36.538459777832
1474,2407,Cryptography,10,8,44.4444465637207
1475,2440,Cryptography,13,13,50
1476,1612,Cryptography,33,1,2.94117641448975
1477,990,Cryptography,10,0,0
1478,3226,Cryptography,13,10,43.4782600402832
1479,3518,Cryptography,77,35,31.25
1480,3774,Cryptography,157,77,32.9059829711914
1481,1808,Cryptography,33,1,2.94117641448975
1482,2135,Cryptography,29,9,23.684211730957
1483,3782,Cryptography,317,161,33.6820106506348
1484,2372,Cryptography,6,0,0
1485,1688,Cryptography,10,6,37.5
1486,1536,Cryptography,22,0,0
1487,800,Cryptography,1,0,0
1488,2830,Cryptography,16,13,44.8275871276855
1489,2688,Cryptography,17,14,45.1612892150879
1490,4143,Cryptography,76,55,41.984733581543
1491,1007,Cryptography,5,0,0
1492,1327,Cryptography,7,0,0
1493,4030,Cryptography,120,59,32.9608955383301
1494,3236,Cryptography,157,124,44.1281127929688
1495,3364,Cryptography,8,7,46.6666679382324
1496,1253,Cryptography,1,0,0
1497,3007,Cryptography,25,22,46.8085098266602
1498,4073,Cryptography,23,23,50
1499,2369,Cryptography,2,1,33.3333358764648
1500,3537,Cryptography,15,12,44.4444465637207
1501,1080,Cryptography,5,0,0
1502,3292,Cryptography,12,10,45.4545478820801
1503,2214,Cryptography,55,8,12.698413848877
1504,1906,Cryptography,6,1,14.2857151031494
1505,1944,Cryptography,2,2,50
1506,2065,Cryptography,8,6,42.8571434020996
1507,1268,Cryptography,16,6,27.2727279663086
1508,2648,Cryptography,18,9,33.3333358764648
1509,2636,Cryptography,8,8,50
1510,1592,Cryptography,8,7,46.6666679382324
1511,2963,Cryptography,10,10,50
1512,4104,Cryptography,126,80,38.8349494934082
1513,3446,Cryptography,14,3,17.6470584869385
1514,1804,Cryptography,5,0,0
1515,3500,Cryptography,55,52,48.5981330871582
1516,2572,Cryptography,19,12,38.7096748352051
1517,3870,Cryptography,55,39,41.4893646240234
1518,1524,Cryptography,1,0,0
1519,1852,Cryptography,8,0,0
1520,1674,Cryptography,1,1,50
1521,3301,Cryptography,3,0,0
1522,3800,Cryptography,103,47,31.3333339691162
1523,1020,Cryptography,5,0,0
1524,2048,Cryptography,2,2,50
1525,2128,Cryptography,1,0,0
1526,2478,Cryptography,14,13,48.1481475830078
1527,3781,Cryptography,11,0,0
1528,2091,Cryptography,5,0,0
1529,3326,Cryptography,38,38,50
1530,1398,Cryptography,13,12,48
1531,1665,Cryptography,6,1,14.2857151031494
1532,2880,Cryptography,17,14,45.1612892150879
1533,3140,Cryptography,13,11,45.8333358764648
1534,3737,Cryptography,158,78,33.0508460998535
1535,1929,Cryptography,2,1,33.3333358764648
1536,3203,Cryptography,42,14,25
1537,2924,Cryptography,8,5,38.461540222168
1538,3603,Cryptography,5,0,0
1539,3837,Cryptography,54,35,39.3258438110352
1540,2029,Cryptography,2,2,50
1541,3099,Cryptography,28,2,6.66666698455811
1542,2306,Cryptography,1,0,0
1543,4023,Cryptography,12,0,0
1544,2302,Cryptography,48,18,27.2727279663086
1545,2491,Cryptography,56,11,16.4179096221924
1546,3094,Cryptography,6,6,50
1547,3199,Cryptography,10,0,0
1548,1455,Cryptography,5,0,0
